sample_id	cohort
CATD0572a	6982_3135
CATD0572b	6982_3135
CATD0573a	6982_3135
CATD0573b	6982_3135
CATD0574a	6982_3135
CATD0574b	6982_3135
CATD0575a	6982_3135
CATD0575b	6982_3135
CATD0576a	6982_3135
CATD0576b	6982_3135
CATD0577a	6982_3135
CATD0577b	6982_3135
CATD0578a	6982_3135
CATD0578b	6982_3135
CATD0579a	6982_3135
CATD0579b	6982_3135
CATD0580a	6982_3135
CATD0580b	6982_3135
CATD0581a	6982_3135
CATD0581b	6982_3135
CATD0582a	6982_3135
CATD0582b	6982_3135
CATD0583a	6982_3135
CATD0583b	6982_3135
CATD0584a	6982_3135
CATD0584b	6982_3135
CATD0585a	6982_3135
CATD0585b	6982_3135
CATD0586a	6982_3135
CATD0586b	6982_3135
CATD0587a	6982_3135
CATD0587b	6982_3135
CATD0588a	6982_3135
CATD0588b	6982_3135
CATD0589a	6982_3135
CATD0589b	6982_3135
CATD0590a	6982_3135
CATD0590b	6982_3135
CATD0591a	6982_3135
CATD0591b	6982_3135
CATD0592a	6982_3135
CATD0592b	6982_3135
CATD0593a	6982_3135
CATD0593b	6982_3135
CATD0594a	6982_3135
CATD0594b	6982_3135
CATD0595a	6982_3135
CATD0595b	6982_3135
CATD0596a	6982_3135
CATD0596b	6982_3135
CATD0597a	6982_3135
CATD0597b	6982_3135
CATD0598a	6982_3135
CATD0598b	6982_3135
CATD0599a	6982_3135
CATD0599b	6982_3135
CATD0600a	6982_3135
CATD0600b	6982_3135
CATD0601a	6982_3135
CATD0601b	6982_3135
CATD0602a	6982_3135
CATD0602b	6982_3135
CATD0603a	6982_3135
CATD0603b	6982_3135
CATD0604a	6982_3135
CATD0604b	6982_3135
CATD0605a	6982_3135
CATD0605b	6982_3135
CATD0606a	6982_3135
CATD0606b	6982_3135
CATD0607a	6982_3135
CATD0607b	6982_3135
CATD0608a	6982_3135
CATD0608b	6982_3135
CATD0609a	6982_3135
CATD0609b	6982_3135
CATD0610a	6982_3135
CATD0610b	6982_3135
CATD0611a	6982_3135
CATD0611b	6982_3135
CATD0678a	6982_3135
CATD0678b	6982_3135
CATD0679a	6982_3135
CATD0679b	6982_3135
CATD0680a	6982_3135
CATD0680b	6982_3135
CATD0681a	6982_3135
CATD0681b	6982_3135
CATD0682a	6982_3135
CATD0682b	6982_3135
CATD0683a	6982_3135
CATD0683b	6982_3135
CATD0684a	6982_3135
CATD0684b	6982_3135
CATD0685a	6982_3135
CATD0685b	6982_3135
CATD0686a	6982_3135
CATD0686b	6982_3135
CATD0687a	6982_3135
CATD0687b	6982_3135
CATD0719a	6982_3135
CATD0719b	6982_3135
CATD0720a	6982_3135
CATD0720b	6982_3135
CATD0721a	6982_3135
CATD0721b	6982_3135
CATD0722a	6982_3135
CATD0722b	6982_3135
CATD0723a	6982_3135
CATD0723b	6982_3135
CATD0724a	6982_3135
CATD0724b	6982_3135
CATD0725a	6982_3135
CATD0725b	6982_3135
CATD0726a	6982_3135
CATD0726b	6982_3135
CATD0727a	6982_3135
CATD0727b	6982_3135
CATD0728a	6982_3135
CATD0728b	6982_3135
CATD0729a	6982_3135
CATD0729b	6982_3135
CATD0730a	6982_3135
CATD0730b	6982_3135
CATD0731a	6982_3135
CATD0731b	6982_3135
CATD0732a	6982_3135
CATD0732b	6982_3135
CATD0733a	6982_3135
CATD0733b	6982_3135
CATD0734a	6982_3135
CATD0734b	6982_3135
CATD0735a	6982_3135
CATD0735b	6982_3135
CATD0736a	6982_3135
CATD0736b	6982_3135
