sample_id	cohort
CATD0141a	6712_2822
CATD0141b	6712_2822
CATD0142a	6712_2822
CATD0142b	6712_2822
CATD0143a	6712_2822
CATD0143b	6712_2822
CATD0144a	6712_2822
CATD0144b	6712_2822
CATD0145a	6712_2822
CATD0145b	6712_2822
CATD0146a	6712_2822
CATD0146b	6712_2822
CATD0147a	6712_2822
CATD0147b	6712_2822
CATD0148a	6712_2822
CATD0148b	6712_2822
CATD0149a	6712_2822
CATD0149b	6712_2822
CATD0150a	6712_2822
CATD0150b	6712_2822
CATD0151a	6712_2822
CATD0151b	6712_2822
CATD0152a	6712_2822
CATD0152b	6712_2822
CATD0153a	6712_2822
CATD0153b	6712_2822
CATD0154a	6712_2822
CATD0154b	6712_2822
CATD0155a	6712_2822
CATD0155b	6712_2822
CATD0156a	6712_2822
CATD0156b	6712_2822
CATD0157a	6712_2822
CATD0157b	6712_2822
CATD0158a	6712_2822
CATD0158b	6712_2822
CATD0159a	6712_2822
CATD0159b	6712_2822
CATD0160a	6712_2822
CATD0160b	6712_2822
CATD0626a	6712_2822
CATD0626b	6712_2822
CATD0627a	6712_2822
CATD0627b	6712_2822
CATD0628a	6712_2822
CATD0628b	6712_2822
CATD0629a	6712_2822
CATD0629b	6712_2822
CATD0630a	6712_2822
CATD0630b	6712_2822
CATD0631a	6712_2822
CATD0631b	6712_2822
CATD0632a	6712_2822
CATD0632b	6712_2822
CATD0633a	6712_2822
CATD0633b	6712_2822
CATD0634a	6712_2822
CATD0634b	6712_2822
CATD0635a	6712_2822
CATD0635b	6712_2822
CATD0636a	6712_2822
CATD0636b	6712_2822
CATD0637a	6712_2822
CATD0637b	6712_2822
CATD0638a	6712_2822
CATD0638b	6712_2822
CATD0639a	6712_2822
CATD0639b	6712_2822
CATD0640a	6712_2822
CATD0640b	6712_2822
CATD0641a	6712_2822
CATD0641b	6712_2822
CATD0642a	6712_2822
CATD0642b	6712_2822
CATD0643b	6712_2822
CATD0644a	6712_2822
CATD0644b	6712_2822
CATD0645a	6712_2822
CATD0645b	6712_2822
CATD0646a	6712_2822
CATD0646b	6712_2822
CATD0647a	6712_2822
CATD0647b	6712_2822
CATD0648a	6712_2822
CATD0648b	6712_2822
CATD0649a	6712_2822
CATD0649b	6712_2822
CATD0650a	6712_2822
CATD0650b	6712_2822
CATD0651a	6712_2822
CATD0651b	6712_2822
CATD0652b	6712_2822
CATD0653a	6712_2822
CATD0653b	6712_2822
CATD0654a	6712_2822
CATD0654b	6712_2822
CATD0655a	6712_2822
CATD0655b	6712_2822
CATD0656a	6712_2822
CATD0667a	6712_2822
CATD0667b	6712_2822
CATD0668a	6712_2822
CATD0668b	6712_2822
CATD0669a	6712_2822
CATD0669b	6712_2822
CATD0670a	6712_2822
CATD0670b	6712_2822
CATD185a	6712_2822
CATD185b	6712_2822
CATD283a	6712_2822
CATD283b	6712_2822
CATD284a	6712_2822
CATD284b	6712_2822
CATD285a	6712_2822
CATD285b	6712_2822
CATD286a	6712_2822
CATD286b	6712_2822
CATD287a	6712_2822
CATD287b	6712_2822
CATD288a	6712_2822
CATD288b	6712_2822
CATD289a	6712_2822
CATD289b	6712_2822
CATD290a	6712_2822
CATD290b	6712_2822
CATD291a	6712_2822
CATD291b	6712_2822
CATD292a	6712_2822
CATD292b	6712_2822
CATD293a	6712_2822
CATD293b	6712_2822
CATD294a	6712_2822
CATD294b	6712_2822
CATD295a	6712_2822
CATD295b	6712_2822
