sample_id	cohort
CATD0377a	7040_3064
CATD0377b	7040_3064
CATD0378a	7040_3064
CATD0378b	7040_3064
CATD0379a	7040_3064
CATD0379b	7040_3064
CATD0380a	7040_3064
CATD0380b	7040_3064
CATD0381a	7040_3064
CATD0381b	7040_3064
CATD0382a	7040_3064
CATD0382b	7040_3064
CATD0383a	7040_3064
CATD0383b	7040_3064
CATD0384a	7040_3064
CATD0384b	7040_3064
CATD0385a	7040_3064
CATD0385b	7040_3064
CATD0386a	7040_3064
CATD0386b	7040_3064
CATD0387a	7040_3064
CATD0387b	7040_3064
CATD0388a	7040_3064
CATD0388b	7040_3064
CATD0389a	7040_3064
CATD0389b	7040_3064
CATD0390a	7040_3064
CATD0390b	7040_3064
CATD0391a	7040_3064
CATD0391b	7040_3064
CATD0392a	7040_3064
CATD0392b	7040_3064
CATD0393a	7040_3064
CATD0393b	7040_3064
CATD0394a	7040_3064
CATD0394b	7040_3064
CATD0395a	7040_3064
CATD0395b	7040_3064
CATD0396a	7040_3064
CATD0396b	7040_3064
CATD0397a	7040_3064
CATD0397b	7040_3064
CATD0398a	7040_3064
CATD0398b	7040_3064
CATD0399a	7040_3064
CATD0399b	7040_3064
CATD0416a	7040_3064
CATD0416b	7040_3064
CATD0417a	7040_3064
CATD0417b	7040_3064
CATD0418a	7040_3064
CATD0418b	7040_3064
CATD0419a	7040_3064
CATD0419b	7040_3064
CATD0420a	7040_3064
CATD0420b	7040_3064
CATD0421a	7040_3064
CATD0421b	7040_3064
CATD0422a	7040_3064
CATD0422b	7040_3064
CATD0423a	7040_3064
CATD0423b	7040_3064
CATD0424a	7040_3064
CATD0424b	7040_3064
CATD0425a	7040_3064
CATD0425b	7040_3064
CATD0426a	7040_3064
CATD0426b	7040_3064
CATD0427a	7040_3064
CATD0427b	7040_3064
CATD0428a	7040_3064
CATD0428b	7040_3064
CATD0429a	7040_3064
CATD0429b	7040_3064
CATD0430a	7040_3064
CATD0430b	7040_3064
CATD0431a	7040_3064
CATD0431b	7040_3064
CATD0432a	7040_3064
CATD0432b	7040_3064
CATD0433a	7040_3064
CATD0433b	7040_3064
CATD0434a	7040_3064
CATD0434b	7040_3064
CATD0435a	7040_3064
CATD0435b	7040_3064
CATD0436a	7040_3064
CATD0436b	7040_3064
CATD0437a	7040_3064
CATD0437b	7040_3064
CATD0438a	7040_3064
CATD0438b	7040_3064
CATD0439a	7040_3064
CATD0439b	7040_3064
CATD0440a	7040_3064
CATD0440b	7040_3064
CATD0441a	7040_3064
CATD0441b	7040_3064
CATD0442a	7040_3064
CATD0442b	7040_3064
CATD0443a	7040_3064
CATD0443b	7040_3064
CATD0657a	7040_3064
CATD0657b	7040_3064
CATD0658a	7040_3064
CATD0658b	7040_3064
CATD0659a	7040_3064
CATD0659b	7040_3064
CATD0660a	7040_3064
CATD0660b	7040_3064
CATD0661a	7040_3064
CATD0661b	7040_3064
CATD0662a	7040_3064
CATD0662b	7040_3064
CATD0663a	7040_3064
CATD0663b	7040_3064
CATD0664a	7040_3064
CATD0664b	7040_3064
CATD0665a	7040_3064
CATD0665b	7040_3064
CATD0666a	7040_3064
CATD0666b	7040_3064
