sample_id	cohort
CATD0119a	6711_2820
CATD0119b	6711_2820
CATD0120a	6711_2820
CATD0120b	6711_2820
CATD0121a	6711_2820
CATD0121b	6711_2820
CATD0122a	6711_2820
CATD0122b	6711_2820
CATD0123a	6711_2820
CATD0123b	6711_2820
CATD0124a	6711_2820
CATD0124b	6711_2820
CATD0125a	6711_2820
CATD0125b	6711_2820
CATD0126a	6711_2820
CATD0126b	6711_2820
CATD0127a	6711_2820
CATD0127b	6711_2820
CATD0128a	6711_2820
CATD0128b	6711_2820
CATD0129a	6711_2820
CATD0129b	6711_2820
CATD0130a	6711_2820
CATD0130b	6711_2820
CATD0131a	6711_2820
CATD0131b	6711_2820
CATD0132a	6711_2820
CATD0132b	6711_2820
CATD0133a	6711_2820
CATD0133b	6711_2820
CATD0134a	6711_2820
CATD0134b	6711_2820
CATD0135a	6711_2820
CATD0135b	6711_2820
CATD0136a	6711_2820
CATD0136b	6711_2820
CATD0137a	6711_2820
CATD0137b	6711_2820
CATD0138a	6711_2820
CATD0138b	6711_2820
CATD0139a	6711_2820
CATD0139b	6711_2820
CATD0140a	6711_2820
CATD0140b	6711_2820
CATD0632c	6711_2820
CATD0632d	6711_2820
CATD186a	6711_2820
CATD186b	6711_2820
CATD187a	6711_2820
CATD187b	6711_2820
CATD243a	6711_2820
CATD243b	6711_2820
CATD244a	6711_2820
CATD244b	6711_2820
CATD245a	6711_2820
CATD245b	6711_2820
CATD246a	6711_2820
CATD246b	6711_2820
CATD247a	6711_2820
CATD247b	6711_2820
CATD248a	6711_2820
CATD248b	6711_2820
CATD249a	6711_2820
CATD249b	6711_2820
CATD250a	6711_2820
CATD250b	6711_2820
CATD251a	6711_2820
CATD251b	6711_2820
CATD252a	6711_2820
CATD252b	6711_2820
CATD253a	6711_2820
CATD253b	6711_2820
CATD254a	6711_2820
CATD254b	6711_2820
CATD255a	6711_2820
CATD255b	6711_2820
CATD256a	6711_2820
CATD256b	6711_2820
CATD257a	6711_2820
CATD257b	6711_2820
CATD258a	6711_2820
CATD258b	6711_2820
CATD259a	6711_2820
CATD259b	6711_2820
CATD260a	6711_2820
CATD260b	6711_2820
CATD261a	6711_2820
CATD261b	6711_2820
CATD262a	6711_2820
CATD262b	6711_2820
CATD263a	6711_2820
CATD263b	6711_2820
CATD264a	6711_2820
CATD264b	6711_2820
CATD265a	6711_2820
CATD265b	6711_2820
CATD266a	6711_2820
CATD266b	6711_2820
CATD267a	6711_2820
CATD267b	6711_2820
CATD268a	6711_2820
CATD268b	6711_2820
CATD269a	6711_2820
CATD269b	6711_2820
CATD270a	6711_2820
CATD270b	6711_2820
CATD271a	6711_2820
CATD271b	6711_2820
CATD272a	6711_2820
CATD272b	6711_2820
CATD273a	6711_2820
CATD273b	6711_2820
CATD274a	6711_2820
CATD274b	6711_2820
CATD275a	6711_2820
CATD275b	6711_2820
CATD276a	6711_2820
CATD276b	6711_2820
CATD277a	6711_2820
CATD277b	6711_2820
CATD278a	6711_2820
CATD278b	6711_2820
CATD279a	6711_2820
CATD279b	6711_2820
CATD280a	6711_2820
CATD280b	6711_2820
CATD281a	6711_2820
CATD281b	6711_2820
CATD282a	6711_2820
CATD282b	6711_2820
