sample_id	cohort
CATD0561d	6841_2964
CATD0561e	6841_2964
CATD0709a	6841_2964
CATD0709b	6841_2964
CATD0710a	6841_2964
CATD0710b	6841_2964
CATD0711a	6841_2964
CATD0711b	6841_2964
CATD0712a	6841_2964
CATD0712b	6841_2964
CATD0713a	6841_2964
CATD0713b	6841_2964
CATD0714a	6841_2964
CATD0714b	6841_2964
CATD0715a	6841_2964
CATD0715b	6841_2964
CATD0716a	6841_2964
CATD0716b	6841_2964
CATD0717a	6841_2964
CATD0717b	6841_2964
CATD0718a	6841_2964
CATD0718b	6841_2964
CATD216a	6841_2964
CATD216b	6841_2964
CATD217a	6841_2964
CATD217b	6841_2964
CATD218a	6841_2964
CATD218b	6841_2964
CATD219a	6841_2964
CATD219b	6841_2964
CATD220a	6841_2964
CATD220b	6841_2964
CATD221a	6841_2964
CATD221b	6841_2964
CATD222a	6841_2964
CATD222b	6841_2964
CATD223a	6841_2964
CATD223b	6841_2964
CATD224a	6841_2964
CATD224b	6841_2964
CATD225a	6841_2964
CATD225b	6841_2964
CATD226a	6841_2964
CATD226b	6841_2964
CATD227a	6841_2964
CATD227b	6841_2964
CATD228a	6841_2964
CATD228b	6841_2964
CATD229a	6841_2964
CATD229b	6841_2964
CATD230a	6841_2964
CATD230b	6841_2964
CATD231a	6841_2964
CATD231b	6841_2964
CATD232a	6841_2964
CATD232b	6841_2964
CATD233a	6841_2964
CATD233b	6841_2964
CATD234a	6841_2964
CATD234b	6841_2964
CATD235a	6841_2964
CATD235b	6841_2964
CATD236a	6841_2964
CATD236b	6841_2964
CATD237a	6841_2964
CATD237b	6841_2964
CATD238a	6841_2964
CATD238b	6841_2964
CATD239a	6841_2964
CATD239b	6841_2964
CATD240a	6841_2964
CATD240b	6841_2964
CATD241a	6841_2964
CATD241b	6841_2964
CATD242a	6841_2964
CATD242b	6841_2964
