sample_id	cohort
CATD0078a	6555_2711
CATD0078b	6555_2711
CATD0079a	6555_2711
CATD0079b	6555_2711
CATD0080a	6555_2711
CATD0080b	6555_2711
CATD0081a	6555_2711
CATD0081b	6555_2711
CATD0082a	6555_2711
CATD0082b	6555_2711
CATD0083a	6555_2711
CATD0083b	6555_2711
CATD0084a	6555_2711
CATD0084b	6555_2711
CATD0085a	6555_2711
CATD0085b	6555_2711
CATD0086a	6555_2711
CATD0086b	6555_2711
CATD0087a	6555_2711
CATD0087b	6555_2711
CATD0088a	6555_2711
CATD0088b	6555_2711
CATD0089a	6555_2711
CATD0089b	6555_2711
CATD0090a	6555_2711
CATD0090b	6555_2711
CATD0091a	6555_2711
CATD0091b	6555_2711
CATD0092a	6555_2711
CATD0092b	6555_2711
CATD0093a	6555_2711
CATD0093b	6555_2711
CATD0094a	6555_2711
CATD0094b	6555_2711
CATD0095a	6555_2711
CATD0095b	6555_2711
CATD0096a	6555_2711
CATD0096b	6555_2711
CATD0097a	6555_2711
CATD0097b	6555_2711
CATD0098a	6555_2711
CATD0098b	6555_2711
CATD0099a	6555_2711
CATD0099b	6555_2711
CATD0100a	6555_2711
CATD0100b	6555_2711
CATD0101a	6555_2711
CATD0101b	6555_2711
CATD0102a	6555_2711
CATD0102b	6555_2711
CATD0103a	6555_2711
CATD0103b	6555_2711
CATD0104a	6555_2711
CATD0104b	6555_2711
CATD0105a	6555_2711
CATD0105b	6555_2711
CATD0106a	6555_2711
CATD0106b	6555_2711
CATD0107a	6555_2711
CATD0107b	6555_2711
CATD0108a	6555_2711
CATD0108b	6555_2711
CATD0109a	6555_2711
CATD0109b	6555_2711
CATD0110a	6555_2711
CATD0110b	6555_2711
CATD0111a	6555_2711
CATD0111b	6555_2711
CATD0112a	6555_2711
CATD0112b	6555_2711
CATD0113a	6555_2711
CATD0113b	6555_2711
CATD0114a	6555_2711
CATD0114b	6555_2711
CATD0115a	6555_2711
CATD0115b	6555_2711
CATD0116a	6555_2711
CATD0116b	6555_2711
CATD0117a	6555_2711
CATD0117b	6555_2711
CATD0118a	6555_2711
CATD0118b	6555_2711
CATD0400a	6555_2711
CATD0400b	6555_2711
CATD0401a	6555_2711
CATD0401b	6555_2711
CATD0402a	6555_2711
CATD0402b	6555_2711
CATD0403a	6555_2711
CATD0403b	6555_2711
CATD0404a	6555_2711
CATD0404b	6555_2711
CATD0405a	6555_2711
CATD0405b	6555_2711
CATD0406a	6555_2711
CATD0406b	6555_2711
CATD0407a	6555_2711
CATD0407b	6555_2711
CATD0408a	6555_2711
CATD0408b	6555_2711
CATD0409a	6555_2711
CATD0409b	6555_2711
CATD0410a	6555_2711
CATD0410b	6555_2711
CATD0411a	6555_2711
CATD0411b	6555_2711
CATD0412a	6555_2711
CATD0412b	6555_2711
CATD0413a	6555_2711
CATD0413b	6555_2711
CATD0414a	6555_2711
CATD0414b	6555_2711
CATD0415a	6555_2711
CATD0415b	6555_2711
CATD188a	6555_2711
CATD188b	6555_2711
CATD189a	6555_2711
CATD189b	6555_2711
CATD190a	6555_2711
CATD190b	6555_2711
CATD191a	6555_2711
CATD191b	6555_2711
