sample_id	cohort
CATD0839a	7834_3518
CATD0839b	7834_3518
CATD0839c	7834_3518
CATD0840a	7834_3518
CATD0840b	7834_3518
CATD0840c	7834_3518
CATD0841a	7834_3518
CATD0841b	7834_3518
CATD0841c	7834_3518
CATD0842a	7834_3518
CATD0842b	7834_3518
CATD0842c	7834_3518
CATD0843a	7834_3518
CATD0843b	7834_3518
CATD0843c	7834_3518
CATD0844a	7834_3518
CATD0844b	7834_3518
CATD0845a	7834_3518
CATD0845b	7834_3518
CATD0845c	7834_3518
CATD0846a	7834_3518
CATD0846b	7834_3518
CATD0846c	7834_3518
CATD0847a	7834_3518
CATD0847b	7834_3518
CATD0847c	7834_3518
CATD0848a	7834_3518
CATD0848b	7834_3518
CATD0848c	7834_3518
CATD0849a	7834_3518
CATD0849b	7834_3518
CATD0849c	7834_3518
CATD0849d	7834_3518
CATD0850a	7834_3518
CATD0850b	7834_3518
CATD0850c	7834_3518
CATD0851a	7834_3518
CATD0851b	7834_3518
CATD0851c	7834_3518
CATD0852a	7834_3518
CATD0852b	7834_3518
CATD0852c	7834_3518
CATD0852d	7834_3518
CATD0853a	7834_3518
CATD0853b	7834_3518
CATD0853c	7834_3518
CATD0854a	7834_3518
CATD0854b	7834_3518
CATD0854c	7834_3518
CATD0854d	7834_3518
CATD0855a	7834_3518
CATD0855b	7834_3518
CATD0855c	7834_3518
CATD0855d	7834_3518
CATD0856a	7834_3518
CATD0856b	7834_3518
CATD0856c	7834_3518
CATD0857a	7834_3518
CATD0857b	7834_3518
CATD0857c	7834_3518
CATD0858a	7834_3518
CATD0858b	7834_3518
CATD0858c	7834_3518
CATD0859a	7834_3518
CATD0859b	7834_3518
CATD0859c	7834_3518
CATD0859d	7834_3518
CATD0860a	7834_3518
CATD0860b	7834_3518
CATD0860c	7834_3518
CATD0860d	7834_3518
