sample_id	cohort
CATD0673a	6945_3142
CATD0673b	6945_3142
CATD0674a	6945_3142
CATD0674b	6945_3142
CATD0675a	6945_3142
CATD0675b	6945_3142
CATD0676a	6945_3142
CATD0676b	6945_3142
CATD0677a	6945_3142
CATD0677b	6945_3142
CATD296a	6945_3142
CATD296b	6945_3142
CATD297a	6945_3142
CATD297b	6945_3142
CATD298a	6945_3142
CATD298b	6945_3142
CATD299a	6945_3142
CATD299b	6945_3142
CATD300a	6945_3142
CATD300b	6945_3142
CATD301a	6945_3142
CATD301b	6945_3142
CATD302a	6945_3142
CATD302b	6945_3142
CATD303a	6945_3142
CATD303b	6945_3142
CATD304a	6945_3142
CATD304b	6945_3142
CATD305a	6945_3142
CATD305b	6945_3142
CATD306a	6945_3142
CATD306b	6945_3142
CATD307a	6945_3142
CATD307b	6945_3142
CATD308a	6945_3142
CATD308b	6945_3142
CATD309a	6945_3142
CATD309b	6945_3142
CATD310a	6945_3142
CATD310b	6945_3142
CATD311a	6945_3142
CATD311b	6945_3142
CATD312a	6945_3142
CATD312b	6945_3142
CATD313a	6945_3142
CATD313b	6945_3142
CATD314a	6945_3142
CATD314b	6945_3142
CATD315a	6945_3142
CATD315b	6945_3142
CATD316a	6945_3142
CATD316b	6945_3142
CATD317a	6945_3142
CATD317b	6945_3142
CATD318a	6945_3142
CATD318b	6945_3142
CATD319a	6945_3142
CATD319b	6945_3142
CATD320a	6945_3142
CATD320b	6945_3142
CATD321a	6945_3142
CATD321b	6945_3142
CATD322a	6945_3142
CATD322b	6945_3142
CATD323a	6945_3142
CATD323b	6945_3142
CATD324a	6945_3142
CATD324b	6945_3142
CATD325a	6945_3142
CATD325b	6945_3142
CATD326a	6945_3142
CATD326b	6945_3142
CATD327a	6945_3142
CATD327b	6945_3142
CATD328a	6945_3142
CATD328b	6945_3142
CATD329a	6945_3142
CATD329b	6945_3142
