sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH	fastq1	fastq2	sample_fqrunid	donor_id
6973STDY13216436	CATD0535a	CATD0535a	ERS14362513	ERP143495	Felis catus	1a896322dc342262d8fbd2097eaeaabc	46643	3	1	99	51610593	235510	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#99.cram	/seq/illumina/runs/46/46643/lane3/plex99/46643_3#99.cram	/seq/illumina/runs/46/46643/lane3/plex99/46643_3#99.substitution_metrics.txt	0.2	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216436_46643_3#99_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216436_46643_3#99_R2.fastq.gz	6973STDY13216436_46643_3#99	CATD05
6973STDY13216437	CATD0535b	CATD0535b	ERS14362514	ERP143495	Felis catus	41a818b180f30fc81c03824d36096441	46643	3	1	100	51610605	38770016	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#100.cram	/seq/illumina/runs/46/46643/lane3/plex100/46643_3#100.cram	/seq/illumina/runs/46/46643/lane3/plex100/46643_3#100.substitution_metrics.txt	0.24	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216437_46643_3#100_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216437_46643_3#100_R2.fastq.gz	6973STDY13216437_46643_3#100	CATD05
6973STDY13216438	CATD0536a	CATD0536a	ERS14362512	ERP143495	Felis catus	40d3c7558b36e6793be87d007da1aa60	46643	3	1	101	51610522	524168	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#101.cram	/seq/illumina/runs/46/46643/lane3/plex101/46643_3#101.cram	/seq/illumina/runs/46/46643/lane3/plex101/46643_3#101.substitution_metrics.txt	0.15	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216438_46643_3#101_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216438_46643_3#101_R2.fastq.gz	6973STDY13216438_46643_3#101	CATD05
6973STDY13216439	CATD0536b	CATD0536b	ERS14362516	ERP143495	Felis catus	6d72f45d469d86e19315a8c2fd634ae9	46643	3	1	102	51610534	46302780	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#102.cram	/seq/illumina/runs/46/46643/lane3/plex102/46643_3#102.cram	/seq/illumina/runs/46/46643/lane3/plex102/46643_3#102.substitution_metrics.txt	0.27	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216439_46643_3#102_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216439_46643_3#102_R2.fastq.gz	6973STDY13216439_46643_3#102	CATD05
6973STDY13216440	CATD0537a	CATD0537a	ERS14362517	ERP143495	Felis catus	e48c4c7a76376bfb446a149699458fdd	46643	3	1	103	51610546	63114	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#103.cram	/seq/illumina/runs/46/46643/lane3/plex103/46643_3#103.cram	/seq/illumina/runs/46/46643/lane3/plex103/46643_3#103.substitution_metrics.txt	0.12	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216440_46643_3#103_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216440_46643_3#103_R2.fastq.gz	6973STDY13216440_46643_3#103	CATD05
6973STDY13216441	CATD0537b	CATD0537b	ERS14362518	ERP143495	Felis catus	f8158d22b71817a8473fdb07be8b9ee6	46643	3	1	104	51610558	39628712	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#104.cram	/seq/illumina/runs/46/46643/lane3/plex104/46643_3#104.cram	/seq/illumina/runs/46/46643/lane3/plex104/46643_3#104.substitution_metrics.txt	0.22	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216441_46643_3#104_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216441_46643_3#104_R2.fastq.gz	6973STDY13216441_46643_3#104	CATD05
6973STDY13216442	CATD0538a	CATD0538a	ERS14362515	ERP143495	Felis catus	3b03fb534758af3dbb1cd38a006e52c5	46643	3	1	2	51631539	6904710	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#2.cram	/seq/illumina/runs/46/46643/lane3/plex2/46643_3#2.cram	/seq/illumina/runs/46/46643/lane3/plex2/46643_3#2.substitution_metrics.txt	0.17	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216442_46643_3#2_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216442_46643_3#2_R2.fastq.gz	6973STDY13216442_46643_3#2	CATD05
6973STDY13216443	CATD0538b	CATD0538b	ERS14362519	ERP143495	Felis catus	fea308acaea4aef51aa9ce69da9390ba	46643	3	1	4	51631551	26160182	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#4.cram	/seq/illumina/runs/46/46643/lane3/plex4/46643_3#4.cram	/seq/illumina/runs/46/46643/lane3/plex4/46643_3#4.substitution_metrics.txt	0.26	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216443_46643_3#4_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216443_46643_3#4_R2.fastq.gz	6973STDY13216443_46643_3#4	CATD05
6973STDY13216444	CATD0539a	CATD0539a	ERS14362520	ERP143495	Felis catus	60d24e2e556744337ceca6a126cb8291	46643	3	1	6	51631563	24909342	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#6.cram	/seq/illumina/runs/46/46643/lane3/plex6/46643_3#6.cram	/seq/illumina/runs/46/46643/lane3/plex6/46643_3#6.substitution_metrics.txt	0.24	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216444_46643_3#6_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216444_46643_3#6_R2.fastq.gz	6973STDY13216444_46643_3#6	CATD05
6973STDY13216445	CATD0539b	CATD0539b	ERS14362522	ERP143495	Felis catus	38844a943991e9e9fd32496e7ea6adfb	46643	3	1	8	51631575	40493648	6973	FUR: Feline osteosarcoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46643_3#8.cram	/seq/illumina/runs/46/46643/lane3/plex8/46643_3#8.cram	/seq/illumina/runs/46/46643/lane3/plex8/46643_3#8.substitution_metrics.txt	0.24	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216445_46643_3#8_R1.fastq.gz	/lustre/scratch125/casm/team113da/projects/FUR/FUR_analysis/FUR_analysis_cat/pathogen_identification/analysis/6973_2987/fastqs/6973STDY13216445_46643_3#8_R2.fastq.gz	6973STDY13216445_46643_3#8	CATD05
