sample_id	cohort
CATD0444a	7097_3073
CATD0444b	7097_3073
CATD0445a	7097_3073
CATD0445b	7097_3073
CATD0446a	7097_3073
CATD0446b	7097_3073
CATD0447a	7097_3073
CATD0447b	7097_3073
CATD0448a	7097_3073
CATD0448b	7097_3073
CATD0449a	7097_3073
CATD0449b	7097_3073
CATD0450a	7097_3073
CATD0450b	7097_3073
CATD0451a	7097_3073
CATD0451b	7097_3073
CATD0452a	7097_3073
CATD0452b	7097_3073
CATD0453a	7097_3073
CATD0453b	7097_3073
CATD0454a	7097_3073
CATD0454b	7097_3073
CATD0455a	7097_3073
CATD0455b	7097_3073
CATD0456a	7097_3073
CATD0456b	7097_3073
CATD0457a	7097_3073
CATD0457b	7097_3073
CATD0458a	7097_3073
CATD0458b	7097_3073
CATD0459a	7097_3073
CATD0459b	7097_3073
CATD0460a	7097_3073
CATD0461a	7097_3073
CATD0461b	7097_3073
CATD0462a	7097_3073
CATD0462b	7097_3073
CATD0463a	7097_3073
CATD0463b	7097_3073
CATD0464a	7097_3073
CATD0464b	7097_3073
CATD0465a	7097_3073
CATD0465b	7097_3073
CATD0466a	7097_3073
CATD0466b	7097_3073
CATD0612a	7097_3073
CATD0612b	7097_3073
CATD0613a	7097_3073
CATD0613b	7097_3073
CATD0614a	7097_3073
CATD0614b	7097_3073
CATD0615a	7097_3073
CATD0615b	7097_3073
CATD0616a	7097_3073
CATD0616b	7097_3073
CATD0617a	7097_3073
CATD0617b	7097_3073
CATD0618a	7097_3073
CATD0618b	7097_3073
CATD0619a	7097_3073
CATD0619b	7097_3073
CATD0620a	7097_3073
CATD0620b	7097_3073
CATD0621a	7097_3073
CATD0621b	7097_3073
CATD0622a	7097_3073
CATD0622b	7097_3073
CATD0623a	7097_3073
CATD0623b	7097_3073
CATD0624a	7097_3073
CATD0624b	7097_3073
CATD0625a	7097_3073
CATD0625b	7097_3073
