sample_id	cohort
CATD0508a	6864_2965
CATD0508b	6864_2965
CATD0509a	6864_2965
CATD0509b	6864_2965
CATD0510a	6864_2965
CATD0510b	6864_2965
CATD0511a	6864_2965
CATD0511b	6864_2965
CATD0512a	6864_2965
CATD0512b	6864_2965
CATD0513a	6864_2965
CATD0513b	6864_2965
CATD0514a	6864_2965
CATD0514b	6864_2965
CATD0515a	6864_2965
CATD0515b	6864_2965
CATD0516a	6864_2965
CATD0516b	6864_2965
CATD0517a	6864_2965
CATD0517b	6864_2965
CATD0518a	6864_2965
CATD0518b	6864_2965
CATD0519a	6864_2965
CATD0519b	6864_2965
CATD0520a	6864_2965
CATD0520b	6864_2965
CATD0521a	6864_2965
CATD0521b	6864_2965
CATD0522a	6864_2965
CATD0522b	6864_2965
CATD0523a	6864_2965
CATD0523b	6864_2965
CATD0524a	6864_2965
CATD0524b	6864_2965
CATD0525a	6864_2965
CATD0525b	6864_2965
CATD0526a	6864_2965
CATD0526b	6864_2965
CATD0527a	6864_2965
CATD0527b	6864_2965
CATD0528a	6864_2965
CATD0528b	6864_2965
CATD0529a	6864_2965
CATD0529b	6864_2965
CATD0530a	6864_2965
CATD0530b	6864_2965
CATD0531a	6864_2965
CATD0531b	6864_2965
CATD0532a	6864_2965
CATD0532b	6864_2965
CATD0533a	6864_2965
CATD0533b	6864_2965
CATD0534a	6864_2965
CATD0534b	6864_2965
CATD0672a	6864_2965
CATD0672b	6864_2965
CATD192a	6864_2965
CATD192b	6864_2965
CATD193a	6864_2965
CATD193b	6864_2965
CATD194a	6864_2965
CATD194b	6864_2965
CATD195a	6864_2965
CATD195b	6864_2965
CATD196a	6864_2965
CATD196b	6864_2965
CATD197a	6864_2965
CATD197b	6864_2965
CATD198a	6864_2965
CATD198b	6864_2965
CATD199a	6864_2965
CATD199b	6864_2965
CATD200a	6864_2965
CATD200b	6864_2965
CATD201a	6864_2965
CATD201b	6864_2965
CATD202a	6864_2965
CATD202b	6864_2965
CATD203a	6864_2965
CATD203b	6864_2965
CATD204a	6864_2965
CATD204b	6864_2965
CATD205a	6864_2965
CATD205b	6864_2965
CATD206a	6864_2965
CATD206b	6864_2965
CATD207a	6864_2965
CATD207b	6864_2965
CATD208a	6864_2965
CATD208b	6864_2965
CATD209a	6864_2965
CATD209b	6864_2965
CATD210a	6864_2965
CATD210b	6864_2965
CATD211a	6864_2965
CATD211b	6864_2965
CATD212a	6864_2965
CATD212b	6864_2965
CATD213a	6864_2965
CATD213b	6864_2965
CATD214a	6864_2965
CATD214b	6864_2965
CATD215a	6864_2965
CATD215b	6864_2965
