sample_id	cohort
CATD0535b	6973_2987
CATD0536b	6973_2987
CATD0537b	6973_2987
CATD0538b	6973_2987
CATD0539a	6973_2987
CATD0539b	6973_2987
CATD0540a	6973_2987
CATD0540b	6973_2987
CATD0541a	6973_2987
CATD0541b	6973_2987
CATD0542a	6973_2987
CATD0542b	6973_2987
CATD0543a	6973_2987
CATD0543b	6973_2987
CATD0544a	6973_2987
CATD0544b	6973_2987
CATD0545a	6973_2987
CATD0545b	6973_2987
CATD0546a	6973_2987
CATD0546b	6973_2987
CATD0547a	6973_2987
CATD0547b	6973_2987
CATD0548a	6973_2987
CATD0548b	6973_2987
CATD0549a	6973_2987
CATD0550a	6973_2987
CATD0550b	6973_2987
CATD0551a	6973_2987
CATD0551b	6973_2987
CATD0552a	6973_2987
CATD0552b	6973_2987
CATD0553a	6973_2987
CATD0553b	6973_2987
CATD0554a	6973_2987
CATD0554b	6973_2987
CATD0555a	6973_2987
CATD0555b	6973_2987
CATD0556a	6973_2987
CATD0556b	6973_2987
CATD0557a	6973_2987
CATD0557b	6973_2987
CATD0558a	6973_2987
CATD0558b	6973_2987
CATD0559a	6973_2987
CATD0559b	6973_2987
CATD330a	6973_2987
CATD330b	6973_2987
CATD331a	6973_2987
CATD331b	6973_2987
CATD332a	6973_2987
CATD332b	6973_2987
CATD333a	6973_2987
CATD333b	6973_2987
CATD334a	6973_2987
CATD334b	6973_2987
CATD335a	6973_2987
CATD335b	6973_2987
CATD336a	6973_2987
CATD336b	6973_2987
CATD337a	6973_2987
CATD337b	6973_2987
CATD338a	6973_2987
CATD338b	6973_2987
CATD339a	6973_2987
CATD339b	6973_2987
CATD340a	6973_2987
CATD340b	6973_2987
CATD341a	6973_2987
CATD341b	6973_2987
CATD342a	6973_2987
CATD342b	6973_2987
CATD343a	6973_2987
CATD343b	6973_2987
CATD344a	6973_2987
CATD344b	6973_2987
CATD345a	6973_2987
CATD345b	6973_2987
