sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH
7097STDY13217972	CATD0444a	CATD0444a	ERS13633456	ERP141603	Felis catus	3a583595c8bc83fcac153da5cbf6ea7a	46673	2	1	6	51630123	63264280	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#6.cram	/seq/illumina/runs/46/46673/lane2/plex6/46673_2#6.cram	/seq/illumina/runs/46/46673/lane2/plex6/46673_2#6.substitution_metrics.txt	0.33
7097STDY13217973	CATD0444b	CATD0444b	ERS13633459	ERP141603	Felis catus	c13ca17b9531ad81fb0040689d77e894	46673	2	1	8	51630135	54706890	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#8.cram	/seq/illumina/runs/46/46673/lane2/plex8/46673_2#8.cram	/seq/illumina/runs/46/46673/lane2/plex8/46673_2#8.substitution_metrics.txt	0.32
7097STDY13217974	CATD0445a	CATD0445a	ERS13633457	ERP141603	Felis catus	be08d40e59f858bdac1dbffd5edd305e	46673	2	1	10	51630147	79004722	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#10.cram	/seq/illumina/runs/46/46673/lane2/plex10/46673_2#10.cram	/seq/illumina/runs/46/46673/lane2/plex10/46673_2#10.substitution_metrics.txt	0.29
7097STDY13217975	CATD0445b	CATD0445b	ERS13633458	ERP141603	Felis catus	cc28de1c6d3f87d955488ebbaffd1fd3	46673	2	1	12	51630159	48599298	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#12.cram	/seq/illumina/runs/46/46673/lane2/plex12/46673_2#12.cram	/seq/illumina/runs/46/46673/lane2/plex12/46673_2#12.substitution_metrics.txt	0.32
7097STDY13217976	CATD0446a	CATD0446a	ERS13633460	ERP141603	Felis catus	d12eb9fc21b3ec5bad89dbc6a5c58db0	46673	2	1	14	51630171	50067984	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#14.cram	/seq/illumina/runs/46/46673/lane2/plex14/46673_2#14.cram	/seq/illumina/runs/46/46673/lane2/plex14/46673_2#14.substitution_metrics.txt	0.28
7097STDY13217977	CATD0446b	CATD0446b	ERS13633461	ERP141603	Felis catus	33138a31dc9dc2cd4f036a9a9163b70e	46673	2	1	16	51630183	47092116	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#16.cram	/seq/illumina/runs/46/46673/lane2/plex16/46673_2#16.cram	/seq/illumina/runs/46/46673/lane2/plex16/46673_2#16.substitution_metrics.txt	0.28
7097STDY13217978	CATD0447a	CATD0447a	ERS13633465	ERP141603	Felis catus	981982e5405a649c50dd4dcf71bb633d	46673	2	1	18	51630100	45930434	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#18.cram	/seq/illumina/runs/46/46673/lane2/plex18/46673_2#18.cram	/seq/illumina/runs/46/46673/lane2/plex18/46673_2#18.substitution_metrics.txt	0.31
7097STDY13217979	CATD0447b	CATD0447b	ERS13633462	ERP141603	Felis catus	1fd5b52612a9bb0c3c7956c9ddadfb32	46673	2	1	20	51630112	56665016	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#20.cram	/seq/illumina/runs/46/46673/lane2/plex20/46673_2#20.cram	/seq/illumina/runs/46/46673/lane2/plex20/46673_2#20.substitution_metrics.txt	0.3
7097STDY13217980	CATD0448a	CATD0448a	ERS13633463	ERP141603	Felis catus	9f62a7268e7ff8aac4c19f0ca257a48a	46673	2	1	22	51630124	42206530	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#22.cram	/seq/illumina/runs/46/46673/lane2/plex22/46673_2#22.cram	/seq/illumina/runs/46/46673/lane2/plex22/46673_2#22.substitution_metrics.txt	0.3
7097STDY13217981	CATD0448b	CATD0448b	ERS13633464	ERP141603	Felis catus	2db7788843304edb2b1789f48a91469b	46673	2	1	24	51630136	49991560	7097	FUR:Feline colorectal carcinoma_TGS	/lustre/scratch120/npg_repository/references/Felis_catus/Felis_catus_9.0/all/bwa0_6/Felis_catus.Felis_catus_9.0.dna.toplevel.fa	Agilent Pulldown	46673_2#24.cram	/seq/illumina/runs/46/46673/lane2/plex24/46673_2#24.cram	/seq/illumina/runs/46/46673/lane2/plex24/46673_2#24.substitution_metrics.txt	0.31
